iter	Accuracy	Logloss
701	1	0.02935740537
702	1	0.02923712926
703	1	0.02920963716
704	1	0.02917537663
705	1	0.02907359568
706	1	0.02898620715
707	1	0.02892083246
708	1	0.02884672763
709	1	0.02879019204
710	1	0.02876632072
711	1	0.02869799382
712	1	0.02867314749
713	1	0.02859081422
714	1	0.02851448429
715	1	0.02848387566
716	1	0.02838512713
717	1	0.02835747524
718	1	0.0282874852
719	1	0.02825902243
720	1	0.0281861566
721	1	0.02815075208
722	1	0.02809531698
723	1	0.02800050099
724	1	0.02791036017
725	1	0.02781977628
726	1	0.02778214228
727	1	0.02772622669
728	1	0.02763479576
729	1	0.02757496572
730	1	0.02754046745
731	1	0.02749495481
732	1	0.0274744674
733	1	0.02742477252
734	1	0.02733707769
735	1	0.02728257436
736	1	0.02711615864
737	1	0.02706816982
738	1	0.02698024077
739	1	0.02695259045
740	1	0.02692322766
741	1	0.02685820959
742	1	0.02680665278
743	1	0.02674438198
744	1	0.02670035075
745	1	0.02666870755
746	1	0.02661516325
747	1	0.02652680519
748	1	0.02649944349
749	1	0.02645632609
750	1	0.02643640528
751	1	0.02635336756
752	1	0.02629769773
753	1	0.02621418369
754	1	0.02618371043
755	1	0.0261271684
756	1	0.0260825642
757	1	0.02597665623
758	1	0.02594559382
759	1	0.02588927145
760	1	0.02582940747
761	1	0.02577046446
762	1	0.02569234241
763	1	0.02566303131
764	1	0.02553515857
765	1	0.02548007301
766	1	0.02540261238
767	1	0.02536112002
768	1	0.0253395514
769	1	0.02533950029
770	1	0.02529669206
771	1	0.02527442759
772	1	0.02524393814
773	1	0.02516372702
774	1	0.02509983299
775	1	0.02504410002
776	1	0.02499820796
777	1	0.024973169
778	1	0.02491186596
779	1	0.02480998353
780	1	0.02473842609
781	1	0.02465447507
782	1	0.02455923664
783	1	0.02446656128
784	1	0.02444921062
785	1	0.02437634307
786	1	0.02424680528
787	1	0.02413589908
788	1	0.02411642263
789	1	0.02407513492
790	1	0.02402714173
791	1	0.02395011855
792	1	0.02388328219
793	1	0.02386658817
794	1	0.02382098865
795	1	0.02379546493
796	1	0.02376017091
797	1	0.02371825986
798	1	0.02365742279
799	1	0.02357174296
800	1	0.02355296286
801	1	0.02347495908
802	1	0.02345646754
803	1	0.02340215033
804	1	0.02335039319
805	1	0.02326865822
806	1	0.02321644528
807	1	0.02315571541
808	1	0.02309674285
809	1	0.02307224414
810	1	0.02303073339
811	1	0.02294139672
812	1	0.02283223328
813	1	0.02278615645
814	1	0.02272575165
815	1	0.022660012
816	1	0.02258926097
817	1	0.02253091261
818	1	0.0224916656
819	1	0.02243744728
820	1	0.02240919505
821	1	0.02236927683
822	1	0.02231582789
823	1	0.02227085668
824	1	0.02224505513
825	1	0.02222861239
826	1	0.02218559011
827	1	0.02218544136
828	1	0.02216660387
829	1	0.02212898482
830	1	0.02210195633
831	1	0.02204955006
832	1	0.02199586664
833	1	0.02193987298
834	1	0.02189960471
835	1	0.02186487639
836	1	0.02181974674
837	1	0.02177924738
838	1	0.02173195081
839	1	0.02169161541
840	1	0.02167035253
841	1	0.02162203051
842	1	0.02162199019
843	1	0.02157291554
844	1	0.02155107018
845	1	0.0215178692
846	1	0.02147170755
847	1	0.02144983041
848	1	0.02137215632
849	1	0.02132166315
850	1	0.02129459739
851	1	0.02126546933
852	1	0.02125939136
853	1	0.02118503989
854	1	0.02112327828
855	1	0.02109349655
856	1	0.02106525457
857	1	0.02099867061
858	1	0.02095880237
859	1	0.02093006621
860	1	0.02089519237
861	1	0.0208535816
862	1	0.02082150302
863	1	0.02074068492
864	1	0.02069211789
865	1	0.02066582625
866	1	0.0206304714
867	1	0.02060041855
868	1	0.02056689437
869	1	0.02051887536
870	1	0.02049060411
871	1	0.02045038032
872	1	0.02041894771
873	1	0.02036895969
874	1	0.020344265
875	1	0.0203034905
876	1	0.02024768297
877	1	0.02024768015
878	1	0.02021548613
879	1	0.0201909909
880	1	0.02015434894
881	1	0.02007405942
882	1	0.02003739114
883	1	0.01996634111
884	1	0.01991896196
885	1	0.019881706
886	1	0.01984114087
887	1	0.01978837758
888	1	0.01976565219
889	1	0.01974466316
890	1	0.01971936299
891	1	0.01963429888
892	1	0.01960489986
893	1	0.01956910482
894	1	0.01952659837
895	1	0.01949347682
896	1	0.01947916251
897	1	0.01945018221
898	1	0.01943813287
899	1	0.01940734471
900	1	0.01934662732
901	1	0.0193210966
902	1	0.01928233011
903	1	0.01925671746
904	1	0.01923315075
905	1	0.01917483749
906	1	0.01914134802
907	1	0.01907898873
908	1	0.01906074262
909	1	0.01904192211
910	1	0.01901364522
911	1	0.01895976188
912	1	0.01892033765
913	1	0.01892032278
914	1	0.01888142185
915	1	0.01887272455
916	1	0.01886841011
917	1	0.01881685192
918	1	0.0187552135
919	1	0.01870644598
920	1	0.01868899291
921	1	0.01868404248
922	1	0.01866152115
923	1	0.01862723558
924	1	0.01858696509
925	1	0.01852331457
926	1	0.01852331348
927	1	0.01852325841
928	1	0.01852319512
929	1	0.01848613924
930	1	0.018451104
931	1	0.018406588
932	1	0.01837879212
933	1	0.01835375945
934	1	0.01833178612
935	1	0.01831230935
936	1	0.01831230218
937	1	0.01831228721
938	1	0.01827576885
939	1	0.01825663341
